Rank,ID,Player,Team,Conf,Seed,GP,MPG,PPG,$,R1 Pts,R1 PPG,R1 GP,R2 Pts,R2 PPG,R2 GP,CF Pts,CF PPG,CF GP,Finals Pts,Finals PPG,Finals GP,Total Pts,Total GP
139,4870562,Dominick Barlow,PHI,E,7,975,23.9,7.9,,29.2,5.9,5,1.2,5.6,0.2,0.1,,,,,,30.5,5.2
140,4395651,Coby White,CHA,E,9,240,19.9,15.9,,25.1,13.6,1.8,4.3,13.4,0.3,0.4,,,0.1,,,29.9,2.2
141,4348700,Goga Bitadze,ORL,E,8,855,14.9,5.6,,26,4.8,5.4,2.9,4.7,0.6,0.4,,0.1,0.1,,,29.4,6.1
142,2578185,Dorian Finney-Smith,HOU,W,5,525,16.8,3.1,,25.7,4.7,5.5,3.4,4.5,0.8,,,,,,,29.2,6.3
143,4578893,Vit Krejci,POR,W,8,270,19.9,7.4,,26.7,5.4,5,0.9,5.3,0.2,,,,,,,27.7,5.2
144,2595516,Norman Powell,MIA,E,10,825,30.1,22.1,,24.7,19.4,1.3,2.7,19.2,0.1,0.1,,,,,,27.6,1.4
145,4683634,Bennedict Mathurin,LAC,W,9,300,29.3,19.5,,24.6,15.2,1.6,1,,0.1,0.1,,,,,,25.8,1.7
146,4278402,Jordan Goodwin,PHX,W,7,990,22.5,8.6,,24.2,4.9,4.9,0.5,4.9,0.1,,,,,,,24.7,5
147,4709138,Brandin Podziemski,GS,W,10,1155,28.4,13.5,,22.7,13.3,1.7,1.6,13.5,0.1,0.1,,,0.1,,,24.5,1.8
148,6585,Andre Drummond,PHI,E,7,855,19.6,6.4,,23.2,4.6,5,0.9,4.4,0.2,0.1,,,,,,24.2,5.2
149,3059319,Andrew Wiggins,MIA,E,10,945,30.7,15.6,,21.1,13.3,1.6,2.3,13.2,0.2,0.2,,,,,,23.6,1.8
150,5105637,Adem Bona,PHI,E,7,990,17.5,4.9,,22.4,4.5,5,0.8,4,0.2,0.1,,,,,,23.3,5.2
